Label,Number of Links,Number of Domains,Number of Dots,Contains JavaScript
SPAM,0,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,1,0,2,True
SPAM,0,0,0,True
SPAM,73,0,4,True
SPAM,0,0,0,False
SPAM,3,0,2,True
SPAM,7,0,2,True
SPAM,0,0,0,False
SPAM,0,0,0,True
SPAM,9,0,2,True
SPAM,0,0,0,False
SPAM,1,1,2,False
SPAM,0,0,0,True
SPAM,0,0,0,True
SPAM,5,0,10,True
SPAM,1,1,1,True
SPAM,0,0,0,False
SPAM,14,0,3,True
SPAM,0,0,0,True
SPAM,0,0,0,False
SPAM,6,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,1,0,1,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,1,1,1,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,4,2,2,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,33,0,3,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,4,2,2,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,2,0,1,False
SPAM,0,0,0,False
SPAM,25,0,2,True
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,0,0,0,False
SPAM,2,0,2,True
SPAM,0,0,0,False
